Total oos: 16794
Total Jupiter OOs 14057

owner,oo,amount
9fVu5HvhX2zBr1bGUYcRcxWfrGpzeCH5dsgi5aqS8W7f,8gzj5DJppQ25jfv9VoRFQwReYSMP2v8LVQzZAgpVwqir,'2702702702.7027'
DrubbVArDzoQZToWvaAMS8KWWeEMaQNxzAfT9Gk8wyvh,CLWtSnYLRALS7DurE8fKg5YWpumV5AxosjMPKJqDCgP2,'2702702702.7027'
AfQ1oaudsGjvznX4JNEw671hi57JfWo4CWqhtkdgoVHU,9EezH5b9cEqYijkib4WSqFE45TtDDGHaRbbG98U1T9c,'2702702702.7027'
3xWPjpBB2nih2LWcyjXPTJijBCRqXWpZvGBANQUDQhPW,4DWREL2Z3ogUb7uCAY58RK7D4NU72XzJmkAKqQDAoPnc,'2702702702.7027'
GP632BusqGq6TXCD1uCCxb1AMkqvW5N8Ksk8nZ3LiujL,pmzuPZ1xTT6tdyCsK9fDcFXdBPZ9FAqjHTZjGS8STEL,'2702702702.7027'
2Mercikkkdf9qerMWu1LpwF12denYUYqAaVYVxYbez9d,7U8iyQY3agBZ9UiMCPwQDmKsP1bvC9dqwKt2g1Dj5kPt,'2702702702.7027'
FofQY9HMA7NSu2uHZLWXJbdmTUvcktYMXi6M8HynDRw,EAbRqCbemEwquv38e6E7dMQGGG1oqud2GeYyqw4Z9hg6,'2702702702.7027'
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,HDhBdQSmbn7eNABEJ634Py4oZsDXzBiLYMMv4PvaTxca,'2702702702.7027'
GkJ6dzjoY6daHRjr1Ps3WiXmxx3mvoYbSAA1Ht4SdAxW,876trpm8pRmqxsDCZiZrRBVmDp65AT6dboMqeF9tXaBf,'2702702702.7027'
47D9nuQT4K8uEGMRa8YiCwnjm1v4D4BZyoRvATUgKc3w,DQMCuKG576rZy5vtfvqxcqozAJrLRdCMzJRb9QRhirHe,'2702702702.7027'
Cqf6Gu9yQoEGgUPjaDcqgAdHor73GzkfWau7hr3hhy7g,HUKk1NinoERXMcpYvxtmA2uFfHWWM1UKN7zoP7m2SMS2,'2702702702.7027'
8fMnhWLGXU4mmFvekspKDPBa2NUiJG9jqUQhZEWAugUY,DELD73funVL5ZqupnDPaHuwAbysdoeTwVpmF8DPqnFLY,'2702702702.7027'
4C5AZhDaHoDvUUNBMzuFyHv53PNpGxyHV9RZyRtmn4nE,AqtcWxZGbnuP7gnnTFzQEdwqCLH3uMxDG42JcN14K5iL,'2702702702.7027'
CmxDmwyfV7EVhuSCVpMjiXNQxGb8b2p9eXypF9mkUGZ8,BFyojgYgDPDijVNXoxMxvhd6RgH3HrzeYxUWFFAu9z9,'2702702702.7027'
HW12n8b4YXXQ49fzX8Cryd3YCieGjz3HPKkawmyTx9qw,87f5K1TM4QEVru8MjY7z1UFcDbiF6yfq2P6LTCHTaRsy,'2702702702.7027'
8aGaqDhS9DxtGkgMwYZZpBZZqEgFk9Sciq3CgoNKNrBi,5AX993wsQz4tmGU6h3NpNPsH3BLPchCUXvo3r317iSYQ,'2702702702.7027'
9gCS2qEHLgpnUzywTeYiGfiR9dTm2cQ9w1gBJa54fRM6,FA4KxQKYS4oeZbPQGJoEXuxrxj8e4KXHSnF3Dy3h4qni,'2702702702.7027'
2QrK5zJxrSVefurcnY9auLz41Ta7bPmsSynmzgg4Vz9M,H14d79iAj35KjaXCuQSVoT5huNHXb9jjL6x8jQrX8TSS,'2702702702.7027'
BBpShuMzqx2hnZwtCuhnowBAyJFS15j8dTd4DmoLKqyD,5jfnjr1zd4GkjJeg3nVy96v16hHppNhXBx9A3dzvtsjg,'2702702702.7027'
2n37NUAKWGbMf2KU6xiiGDzbvH38Q12g4vfuqrBHhdkK,JDZseF3YSAu6AvgvtJjWrA1QHcc24qaCbGhoZRtuA2HK,'2702702702.7027'
2JFpSRwV3vzMgNmxkWRrxMwYgSr9kCcfpdxtBmBX1b25,9FbyCG3sn7ebjUmWMqvKo6e83niGCEuU3DZqJw2Px5B5,'2702702702.7027'
6hWRtWpdA9pjoDmEvwcinJZaPBv8hZFFNxyEnEspY35m,F8pxyiYMVtqRLv6fVH5Hqzep1hvHC3J2qz2UysgzjqkZ,'2702702702.7027'
6NahwskzZhdmuUYVHfrTTHgb93NV72pKZRf2z8DrHLfW,7qT1WCASHrtvj9PMWW4mwktxLiQwVroZgaebZg6EnK5N,'2702702702.7027'
d4ddPGUjB295bDqqNh3LRZVDSnHhpxcFz4f1ZCXD6EX,AM1NvuxJB6sro4tv4vEfZUon7KUr1rkPvVviYhY5Rn2j,'2702702702.7027'
GsAgn14zuqofvXJUKWa5fQjCWR3GEhr9GsvDxpgSqeGL,LPPvCpkh1qTSTDiSvy32vCUmfrZpp1DXqVANSoxEi9P,'2702702702.7027'
7ahEG3yJQfkLrnGKXTNWSHBcJNGFRmuUrQvrsL1GxxGR,7Hiacb1sD7nLzdRAGMmYqhwvekkdNKqD2upXbvDcbmeY,'2702702702.7027'
KWANUfDegjqk6qEHKgUj84enEt6ajXckBasQVjtjfkr,CdC59Kzvo5A64Avn5a5nvRck5YQaBgz4LhTWHafuWXve,'2702702702.7027'
4vnt9boTFKqGEykMUexG3uyr64QnaLetHmFTSPucF57,EUqWawXyYcZcD1Fx65fiSjps4EZWtLYPhsSvw75zf9LH,'2702702702.7027'
HxmLL653wYD1UypJVGK4E36vwK1AififuccYbg8tzmCh,GrW2GPgNtrpYtzRp5jWefh4Skzp5sj54Vk2TxqybpBdX,'2702702702.7027'
6DBRRXagTDX4yzGSpSZZLUv4LWzSehHWdFxPt4jk8KfT,941yyLKbQ8J35pdyqzHWY7KBaWMFwyATJGX8KVR5Bo8T,'2702702702.7027'
3g2vSGwqHs1MzqjiQFA4KEVFQjcfwxLbMJE9frS7JV3d,54DoymqvrGMpTuN1PTuKrzAggv9YubwasfM61oxjcbfX,'2702702702.7027'
Arden5kZNju3PEbrEkQ8ZER6Uazhdit2BbD9cHPH6nb9,FYHjCbSmMYuu3fhcZDoSXfLeG1yqZZbGSGzAJj2RECzz,'2702702702.7027'
BETXhMYLJbKfbjPHe7suURYAiAoqx85AoaQjqzmdebUZ,21A1xxiegWxrECWW59myirgo6X8K2i7KfdKsHjvFKbn1,'2702702702.7027'
2DBzjW8cTtarzym1fk2eRyNGtDzeACRw9RdtGiuRZyH7,A3CndaPiE1ukLDs4y1bP2KfKFq21Mq9RN93M4xxHyQ9p,'2702702702.7027'
6BrCYRgvhh94BZSVwGhvxXEtDNyhZJTZm5m1bQpLYkPK,GAZa9ViwNX8veH4qrb9KpqptapLoa4WDP8uDGV3Nvn2F,'2702702702.7027'
A5cZf4DnzJCXbdCt7dZ6ZJzh7FGBr3swfsS1JDSNgmhJ,7DJztx5Vgvo5KA1GXb9kagcu7mbDbsb97R7AH7gcvc9C,'2702702702.7027'
